HGNC,BaseMean,log2FC,StdErr,Wald-Stats,P-value,P-adj
ZFX,130.389096051128,-1.06971605639916,0.179587815806946,-5.95650685762048,2.57686304597684E-09,4.65244033407632E-07
CDV3,1841.12570687086,-0.595656088453541,0.100531317502609,-5.92507989799379,3.12145585875818E-09,5.56153076097954E-07
LAMTOR4,2170.23211701435,0.607344880942129,0.102644908001581,5.9169509015759,3.27964541691811E-09,5.76749072603742E-07
KHDC1L,109.561134356099,1.07387634115506,0.181636787654138,5.91221830678857,3.3753077196672E-09,5.85962074769404E-07
SMAD7,156.363962491256,-1.11906365127004,0.189359289172009,-5.90973728388637,3.42653769806479E-09,5.87217449945105E-07
WTAP,495.709564778431,-0.812722988885287,0.137570229614139,-5.90769522712027,3.46927080685388E-09,5.87217449945105E-07
SNHG19,1011.53959731007,0.734276649297299,0.124513615226732,5.89715950308105,3.69812345902035E-09,6.03328792272223E-07
C17orf62,1080.9867928507,0.69096621941101,0.117126384538883,5.89932167829895,3.64999013262656E-09,6.03328792272223E-07
SCARA3,3462.57966104377,0.60229187402557,0.102099818268627,5.8990494228004,3.65601722793598E-09,6.03328792272223E-07
GDF15,2241.39205214531,1.35221987467288,0.230337300199762,5.87060746783155,4.34201212070093E-09,6.99942691981088E-07
PODXL2,3431.8925920136,0.586074088347815,0.099980476733741,5.86188531495601,4.57641073109013E-09,7.29049149525781E-07
OVOL1,201.030839803884,-1.04777289360086,0.179038314988891,-5.85222718201896,4.85033463048432E-09,7.63702107341723E-07
ZHX2,328.42780312293,-0.896181520382746,0.153250634050351,-5.84781606899131,4.98068838649314E-09,7.75212660247168E-07
FAM3A,1473.33857619051,0.585856086385922,0.10046187599392,5.83162598338674,5.48898451499166E-09,8.44617492244342E-07
NR1D1,161.018378551143,-1.16275039979859,0.199506832350724,-5.82812320810413,5.60541891675214E-09,8.52842444401581E-07
QTRT1,642.536128181563,0.682233064359188,0.117158339866758,5.82317114714223,5.77413704911161E-09,8.59898665537841E-07
JUND,2480.2088850528,0.583528494153534,0.100210349904082,5.82303619049398,5.77880352735718E-09,8.59898665537841E-07
KDM5B,651.319457409113,-0.657858472537853,0.113095705333007,-5.81682983098966,5.99741402771844E-09,8.8272807988408E-07
ORMDL2,1483.16213754377,0.574744169589114,0.098890553536726,5.81192185738617,6.17596700191813E-09,8.83467335075924E-07
MORC3,98.6553674943066,-1.1144303552488,0.191768842731211,-5.81132127292867,6.19816829127929E-09,8.83467335075924E-07
,767.568926925838,-0.653435568964608,0.11243570643028,-5.81163751009824,6.18646856494152E-09,8.83467335075924E-07
PSD3,1447.15874558056,-0.632639712322625,0.108990728787471,-5.80452777369948,6.45476610999681E-09,9.10458207244446E-07
RNF19A,180.023980421206,-1.0462302167743,0.180787749589167,-5.78706366527496,7.16274369530818E-09,9.9990425132132E-07
ID1,15114.0233384943,0.611594500356298,0.106043593118101,5.76738756555678,8.05097613931051E-09,1.11243130512657E-06
NUFIP2,386.728194346672,-0.964130972377802,0.167312235947452,-5.76246541036372,8.28940352472511E-09,1.13380619321518E-06
AIP,1643.59620943882,0.619890130686717,0.107838778192637,5.74830446965358,9.01428089777374E-09,1.22062377636754E-06
C3orf38,91.0237891587178,-1.18757942121982,0.206749328124819,-5.74405456110048,9.24359817500971E-09,1.23928280086937E-06
MAP1LC3A,385.75878708796,0.84377299051016,0.147015389513671,5.73935146042446,9.50398002922405E-09,1.26169993701689E-06
P3H3,492.619246744563,0.68373798189829,0.119219021313295,5.73514171116619,9.74308482829648E-09,1.28088457922294E-06
MYC,164.123344705422,-1.12213036837311,0.195812952047087,-5.73062382565623,1.00061951040801E-08,1.30282584523412E-06
JMJD1C,137.572342781315,-1.06630843677213,0.186150213262443,-5.72821496190712,1.01492908627381E-08,1.3088718816413E-06
PIDD1,1765.75060943163,0.599677485129518,0.104718518524242,5.72656578397538,1.02484032852618E-08,1.30918517816726E-06
CDCA2,446.67206120433,-0.899210435052028,0.157226989781431,-5.71918623069782,1.07035431363651E-08,1.35454838887402E-06
MEX3C,896.237873849998,-0.727085311650894,0.127375350158585,-5.70821050341106,1.14170164504428E-08,1.43146129403191E-06
SEC24B,122.548317507028,-1.04587757400179,0.183404232628099,-5.70258144544889,1.18006495520093E-08,1.46598711544732E-06
UBAP1,698.700636611407,-0.658124899411169,0.115504197478005,-5.69784400724044,1.21331987783659E-08,1.49359676961685E-06
GNA13,572.116897159012,-0.774842396813765,0.136233868846949,-5.68759004916947,1.2884466651095E-08,1.55949527327158E-06
